industry,pm_share_net,pm_share_gross,is_manufacturing
"Food, drink and tobacco",0.7010699330673613,0.6485476588572164,True
Metals and metal goods,0.6506179725802191,0.695911134308757,True
Other manufacturing,0.5475653742110009,0.6271158895931163,True
"Agriculture, forestry and fishing",0.4855713359511664,0.40007986063879736,False
Construction,0.4845826642522806,0.5004665865202734,False
Engineering and vehicles,0.47275602418941376,0.5165204218120433,True
"Textiles, clothing, leather and footwear",0.4192251179336478,0.43036578934752384,True
Solid fuels & oil refining,0.37361833237049874,0.4440304943254338,True
Chemicals and man made fibres,0.34249981117349376,0.46125256412967613,True
Mining and Quarrying,0.32792640595509914,0.3376529082412486,False
Information and communication,0.3182919807720633,0.3277649897326042,False
Distribution Services,0.26627441318098877,0.291056432619528,False
Other services,0.24044003209960607,0.3027827431313836,False
Financial intermediation,0.22767345214384868,0.22245077235494104,False
"Electricity, gas and water",0.1833710733785886,0.278185280299427,False
Hotels and restaurants,0.11898741324170524,0.1380098528065959,False
Health and social work,0.11503147522178397,0.15479833538230417,False
"Real estate, renting and business",0.10640664253930796,0.10990064974472798,False
Transportation and storage,0.051419865213040795,0.06231156487213117,False
Education,0.034614852751017125,0.042201042790464466,False
