industry,pm_share_flow
Solid fuels & oil refining,0.4154464542061441
Chemicals and man made fibres,0.14789671951028097
Metals and metal goods,0.42501664447403464
Engineering and vehicles,0.3204535282709235
"Food, drink and tobacco",0.4881286946409536
"Textiles, clothing, leather and footwear",0.4240669240669241
Other manufacturing,0.44081632653061226
"Agriculture, forestry and fishing",0.32870281294493403
Mining and Quarrying,0.08981923761356186
"Electricity, gas and water",0.18241905225125069
Construction,0.16655911665591167
Distribution Services,0.2510789620859582
Transportation and storage,0.10150578863120277
Hotels and restaurants,0.25097502565856994
Information and communication,0.22972123244602807
Financial intermediation,0.29354825644971855
"Real estate, renting and business",0.07946341839488089
Education,0.045637881488176955
Health and social work,0.17561003057186264
Other services,0.3070423618708972
