quarter,industry,investment,pm_share_net,pm_share_gross,is_manufacturing,regime,npv,r,discrete,log_investment,treat
2015Q1,"Agriculture, forestry and fishing",1418,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.257002707092073,0.0722023464762169
2015Q2,"Agriculture, forestry and fishing",1449,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.278628942320682,0.0722023464762169
2015Q3,"Agriculture, forestry and fishing",1441,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.273092595999522,0.0722023464762169
2015Q4,"Agriculture, forestry and fishing",1478,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.298445101508147,0.0722023464762169
2016Q1,"Agriculture, forestry and fishing",1542,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.340835554123275,0.0722023464762169
2016Q2,"Agriculture, forestry and fishing",1518,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.325148957955575,0.0722023464762169
2016Q3,"Agriculture, forestry and fishing",1661,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.415175109613295,0.0722023464762169
2016Q4,"Agriculture, forestry and fishing",1593,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.373374309910049,0.0722023464762169
2017Q1,"Agriculture, forestry and fishing",1682,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.427738840532894,0.0722023464762169
2017Q2,"Agriculture, forestry and fishing",1744,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.463936604468925,0.0722023464762169
2017Q3,"Agriculture, forestry and fishing",1687,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.430707082545968,0.0722023464762169
2017Q4,"Agriculture, forestry and fishing",1693,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.4342573821331355,0.0722023464762169
2018Q1,"Agriculture, forestry and fishing",1651,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.409136443920128,0.0722023464762169
2018Q2,"Agriculture, forestry and fishing",1629,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.395721608602045,0.0722023464762169
2018Q3,"Agriculture, forestry and fishing",1701,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.438971592395862,0.0722023464762169
2018Q4,"Agriculture, forestry and fishing",1707,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.442492722794441,0.0722023464762169
2019Q1,"Agriculture, forestry and fishing",1689,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.4318919168078,0.0722023464762169
2019Q2,"Agriculture, forestry and fishing",1687,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.430707082545968,0.0722023464762169
2019Q3,"Agriculture, forestry and fishing",1690,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.432483807917119,0.0722023464762169
2019Q4,"Agriculture, forestry and fishing",1614,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.3864708488298945,0.0722023464762169
2020Q1,"Agriculture, forestry and fishing",1657,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.4127640174265625,0.0722023464762169
2021Q1,"Agriculture, forestry and fishing",1838,0.4855713359511664,0.4000798606387973,False,pre,0.148695652173913,0.05,False,7.516433302915632,0.0722023464762169
2021Q2,"Agriculture, forestry and fishing",1817,0.4855713359511664,0.4000798606387973,False,super_deduction,0.247,0.05,False,7.504942068396171,0.1199361199799381
