effect_pct,beta_true,power
0.0,0.0,0.031
1.0,0.3726351640898945,0.034
2.0,0.745270328179789,0.078
3.0,1.1179054922696834,0.1515
4.0,1.490540656359578,0.26
5.0,1.8631758204494724,0.374
6.0,2.2358109845393668,0.526
7.0,2.6084461486292616,0.651
8.0,2.981081312719156,0.7975
9.0,3.3537164768090504,0.8715
10.0,3.7263516408989448,0.946
11.0,4.098986804988839,0.9865
12.0,4.4716219690787335,0.994
13.0,4.844257133168628,1.0
14.0,5.216892297258523,1.0
15.0,5.589527461348418,1.0
16.0,5.962162625438312,1.0
17.0,6.334797789528206,1.0
18.0,6.707432953618101,1.0
19.0,7.080068117707995,1.0
20.0,7.4527032817978895,1.0
