sample,exposure,outcome,treat,beta,se,p,ci_lo,ci_hi,n,preregistered
"2015-, drop to 2021Q1",flow,growth,continuous,-158.9970448609641,41.559900578596654,0.00014168406480896678,-240.5899216503429,-77.40416807158532,780,False
"2015-, drop 2020Q2-Q4",flow,growth,continuous,-152.92915257746088,51.34037283108033,0.002989094375381862,-253.71928475362188,-52.13902040129989,800,False
"2015-, keep 2020",flow,growth,continuous,-143.86610004989626,59.23608900093976,0.015368538701769463,-260.13916332137643,-27.593036778416078,880,False
"2015-, keep 2020",gross stock,growth,continuous,-125.2690875542863,47.07780442951574,0.007946442517159147,-217.6769528512105,-32.861222257362115,880,False
"2015-, keep 2020",net stock,growth,continuous,-118.79610022222501,47.10037146430038,0.011851860491222777,-211.2482617971044,-26.343938647345624,880,False
"2015-, drop 2020Q2-Q4",gross stock,growth,continuous,-112.6362903217381,36.96400573672908,0.002392079905738198,-185.20309921935282,-40.06948142412338,800,False
"2015-, drop to 2021Q1",gross stock,growth,continuous,-106.98203933725085,27.885979735560447,0.00013578446408502032,-161.72945877372746,-52.23461990077426,780,False
"2015-, drop 2020Q2-Q4",net stock,growth,continuous,-106.19914973363093,37.77049032120672,0.005058517010195995,-180.34922893851405,-32.04907052874783,800,False
"2015-, drop to 2021Q1",net stock,growth,continuous,-102.32962493577433,28.630068386515454,0.00037470429985342335,-158.53788361326235,-46.12136625828633,780,False
1997- full,flow,growth,continuous,-79.58661539280097,39.13153079588345,0.04209017633567291,-156.32557343548285,-2.8476573501190785,2318,False
1997- full,gross stock,growth,continuous,-77.76194455954158,31.514440656704608,0.013682185645492062,-139.56339444168756,-15.960494677395587,2318,False
1997- full,net stock,growth,continuous,-77.26189739156685,31.176320329005655,0.013278957735029628,-138.40027580390472,-16.123518979228976,2318,False
"2015-, keep 2020",gross stock,growth,binary,-40.400861431286835,14.521944678781056,0.005526233318403628,-68.90562973957364,-11.896093123000021,880,False
"2015-, keep 2020",net stock,growth,binary,-40.400861431286835,14.521944678781056,0.005526233318403628,-68.90562973957364,-11.896093123000021,880,False
"2015-, keep 2020",flow,growth,binary,-36.224289553906424,15.104417273239296,0.016696896925210147,-65.87237900259248,-6.576200105220359,880,False
"2015-, drop 2020Q2-Q4",gross stock,growth,binary,-35.34294584501251,12.843688208140817,0.006072359865383792,-60.55735237819299,-10.128539311832032,800,False
"2015-, drop 2020Q2-Q4",net stock,growth,binary,-35.34294584501251,12.843688208140817,0.006072359865383792,-60.55735237819299,-10.128539311832032,800,False
"2015-, drop 2020Q2-Q4",flow,growth,binary,-34.191214834227594,13.011119350105965,0.008770801522263616,-59.73431798565422,-8.648111682800966,800,False
"2015-, drop to 2021Q1",flow,growth,binary,-34.05335177002767,11.421235388967888,0.0029642321402558736,-56.476202616655385,-11.630500923399953,780,False
"2015-, drop to 2021Q1",net stock,growth,binary,-33.07827428511786,11.575205002797354,0.004390458387102614,-55.80340746533146,-10.35314110490425,780,False
"2015-, drop to 2021Q1",gross stock,growth,binary,-33.07827428511786,11.575205002797354,0.004390458387102614,-55.80340746533146,-10.35314110490425,780,False
1997- full,net stock,growth,binary,-30.14913527326906,9.065058023848044,0.0008960607629255879,-47.92618342850586,-12.372087118032262,2318,False
1997- full,gross stock,growth,binary,-30.14913527326906,9.065058023848044,0.0008960607629255879,-47.92618342850586,-12.372087118032262,2318,False
1997- full,flow,growth,binary,-21.881487046143477,10.247996130707197,0.03285603244445756,-41.97833807908685,-1.7846360132000996,2318,False
1997- full,flow,log level,continuous,-3.3105348836035673,5.10696732559232,0.516898033082948,-13.325511753225337,6.704441986018201,2339,False
1997- full,net stock,log level,continuous,-2.066623971427085,2.1326630963703734,0.3326344319575205,-6.248865646209683,2.1156177033555132,2339,False
1997- full,net stock,log level,binary,-1.8279525693909497,1.109896978378899,0.09970957688850746,-4.004507040461224,0.3486019016793245,2339,False
